country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,33.1,32.8,32.9,21.7,16.5,17.8,18.9,18.3,18.2,18.5,18.3,18.5,18.5,19.3,20.5,19.1,19.1,21.6,23,21.4,20.8,10.5,8.44,6.82,8.04,7.08,19.8,46.5,49.1,49,47.5,48.2,49.1,48.8,47.6,48.5,49.3,51.4,49.1,49.1,48.7,47,47.1,50,44.5
Angola,16.2,17.3,15.1,15.1,15.3,17.3,17.4,17.4,18.1,17.3,17.8,18.5,17.5,17.9,17.6,21.1,29.8,36.9,38.3,35.1,31.7,33.1,33.8,34.9,34.9,36.2,35.9,38.9,41.5,40.9,42.9,44,43,42.9,43.1,44.6,43.5,44,42.8,42.9,42.7,43.8,44.9,48.5,49.6
Albania,0.392,0.792,1.07,0.977,0.909,1.01,0.64,0.811,0.757,2.59,3.42,3.64,5.25,3.74,3.59,21.8,54.1,60.8,59.2,60.8,61.3,60.5,60.7,64,64.6,64.7,65.4,66.3,65.3,65.8,66.9,68.3,69.8,70.4,69.1,70.9,70.5,69.9,67.4,67.6,67.6,67.6,68.4,66.8,66.2
United Arab Emirates,32.9,34,35.5,35.5,35.7,34.5,34.7,34.8,34.3,34.3,35.4,35.5,37.5,37.5,37.1,38,38.2,38.7,38.7,37.7,38.2,38.9,38,39.3,39.8,38.6,36.4,34.7,34.1,32.9,33.1,33.7,34.8,34.7,34.9,35.6,33.8,33.9,33.8,34.3,34.8,34.9,32.2,33,32.6
Argentina,46.8,27.6,20.1,20,20.1,20.3,23.3,26.5,39.7,76.5,77.4,79.2,78.7,79.6,79.4,79,80.1,79.5,78,78.8,80.6,80.1,80.1,79.2,79.3,80.1,79.5,80.1,79.4,77.7,78.2,77.8,76.5,76.8,76.2,75.9,76,76,75.4,74.8,74.4,78.1,76,76.5,72.8
Armenia,,,,,,,,,,,,,,,,,62.2,62.7,61.2,59,58.9,57.6,58.5,59.2,59.9,58.5,59.8,59.5,59.1,56.6,57.5,57.2,56.4,51.3,53.4,57.2,58.5,58.8,58.1,57.5,57.6,58,59.5,64.8,71.9
Australia,84.9,84.5,84.4,84.3,83,82.9,83.8,83.6,83.1,83.4,84.8,84.6,84.9,84.7,85,86.5,86.4,86.5,85.4,85.8,86.7,86.2,84.4,84.1,83.7,84.7,84.8,82.8,83,82.9,83.2,83.6,83.3,82.5,84,85.7,86.3,86.2,83.4,83.7,84.2,83.3,77.7,78.4,76.6
Austria,82.1,85.5,85.3,85.5,85.4,84.9,85.3,83.5,83.5,83.9,84.1,83.9,83.8,83.9,83.4,84.5,84.4,84.5,83.8,83.7,83.1,83.4,83.5,82.7,83,82.5,83.1,82.9,83,82.9,83.1,85.5,85.2,84.9,84.7,84,84.5,85.2,82.6,82.4,82.2,82.3,80.8,78.3,79.9
Azerbaijan,,,,,,,,,,,,,,,,,45.2,51.6,44.3,40.5,41.6,41.1,41.5,42,42.4,42.2,43.1,41,40,38.7,38.3,38.1,37.7,36.5,36.1,34.7,35,35.3,34.3,33.9,33.3,33.9,36,32.7,36.4
Burundi,29.7,29.6,29.2,29.2,30.2,31.5,31.9,32.3,31.8,30.6,30.6,30.6,34.6,34.9,37.2,37.9,37.2,48.1,48.6,48.6,48.6,45.8,45.1,44.8,44,44.2,45.6,45.7,46.8,47.2,47,46.8,47,46.4,47.1,44.4,47.2,47.6,41.7,38,24.8,21.2,19.8,21.3,23.6
Belgium,80.6,80.8,80.6,80.7,80.8,83.5,83.5,83.2,83.1,83.6,83,83,83.5,82.9,84.5,86.9,86.8,87.1,87.6,86.7,87.3,87.6,87.6,87.3,87,87.2,87,87.4,87.2,87.2,87.1,85.8,85.6,87.3,87.4,86.8,87.2,86.8,86,86,83.3,83.4,83,82.9,82.7
Benin,29.6,29.8,29.9,30,29.8,30.9,30.6,30.8,31.9,31.9,32.1,31,31.4,31.2,34.4,69.6,72.6,78.6,78.7,77.7,77.3,78.7,77.6,78.1,77.3,77,77.8,77.3,77.3,78,75.4,74.9,72.4,71,71.6,72.3,71.9,72.2,71.4,72,73.1,76.1,79.1,76.2,66.4
Burkina Faso,46.4,47.1,48.6,49.6,49.4,46.5,43.5,42.3,44.2,42.7,41.9,42.6,43.2,42.5,43.7,44.2,49.5,54.6,57.3,58.1,57.9,58.8,58.8,58.6,61,64,64.4,64.3,65.9,64,64.2,63.8,66.8,66.9,65.9,68.2,67.9,69.1,66.7,69,70.3,68.5,69.7,65.4,58.1
Bangladesh,39.3,41.8,46.1,47.8,49.6,50.9,51.8,41.2,40.3,41.5,41,45,43.9,44.5,44.3,41.8,53.6,53.4,53.2,52.9,54.1,53.9,54.2,53.9,54.3,52.1,52.7,50,49.7,49.9,50.5,49.1,43.2,44.4,47.8,48.3,49,47.7,46.8,46.6,43.4,43,40.1,40.5,40.5
Bulgaria,22.4,22.3,22.4,22.3,22.4,23.4,22.7,23.4,23.8,23.2,23.4,23.3,23.8,24.1,26.4,68.5,72.6,73,71.2,71.7,70.4,71.2,71.6,70.2,72.1,72.2,72.6,73.4,73.4,74.2,73.4,73.3,74.2,73.5,72.9,73.2,71.8,71.5,64.8,67.3,66.1,66.2,65.6,64.5,64.4
Bahrain,38,31.9,32,32.1,31.9,31.3,31.5,30.7,30.5,29.7,29.3,31,30,30.4,30.9,29.6,30,29.8,30.7,30.1,29.4,30.2,30.2,29.9,31.6,37.4,44.6,46.4,46.6,46.1,45,45,45.3,45.9,45.2,42.3,25,25.2,24.3,24.9,22.2,21.3,18.7,18.5,23.4
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,39.1,39.1,38.9,39.9,54.4,56.6,58.5,60.3,65.3,65.3,66.1,66.9,66.1,66.3,65.8,65.1,65,64.6,64.7,64.3,65.1,63.5,62.9,62.7,62.1,61.9,58.3,57.4
Belarus,,,,,,,,,,,,,,,,,59.2,64,63.5,62.7,57.4,50.3,48,47.6,43.5,40.3,39.5,38.7,38.5,38.2,38,35.7,35.9,37.2,36.7,35.7,35.6,35,36.8,36.8,37.9,40.1,41.6,41.4,40.9
Bolivia,22.6,23.1,22.9,27.1,38.2,23.5,26.4,47.4,64.9,65.8,64.6,63.1,63.9,66.6,66.1,67.7,70,70.3,68.7,69.8,69.7,70.3,70.2,69.3,68.3,68.2,67.9,69.3,67.1,70.7,69.6,66,67.2,65.1,67.7,66.8,65.6,65.1,65.3,63.7,64.6,61.9,63.6,62.9,55.2
Brazil,29.3,33,33,32.8,37.7,40,41.5,41.2,41.2,41.6,51.3,58,58.4,69.8,74.4,79.9,81.6,81.8,81.6,81.9,83.5,84.2,82.5,84.2,81.9,82.4,80.5,81.3,80.5,82.1,84.4,84.8,83.5,83,83.4,84.2,84.3,81.9,78.8,76.2,78.4,68.2,66.8,63.1,57.1
